Open,High,Low,Close,Volume,target
0.017195141,0.016193057,0.017245203,0.016751681,0.005615979,0
0.016784979,0.016098542,0.017245203,0.017066563,0.004211985,0
0.017100487,0.016098542,0.017181801,0.01670445,0.003779986,0
0.016690329,0.015688992,0.016420986,0.015995969,0.005291981,0
0.015996212,0.014995902,0.015533364,0.015334715,0.007883971,0
0.015522952,0.015216433,0.015977175,0.015744064,0.007127974,0
0.01583846,0.014995902,0.016294183,0.01580704,0.004319984,0
0.01593311,0.015216433,0.016389283,0.016184898,0.004643983,0
0.016280171,0.015531469,0.016737995,0.016247875,0.006371977,0
0.016406369,0.015515721,0.016864793,0.016405313,0.003671986,0
0.016406369,0.015405453,0.016516086,0.016027455,0.003671986,0
0.015901562,0.014901393,0.015850372,0.015460667,0.006047978,0
0.015586054,0.014932894,0.016040577,0.015555134,0.00539998,0
0.015586054,0.014680862,0.015660167,0.01558662,0.005831979,0
0.015617602,0.014964401,0.015977175,0.015523644,0.003995985,0
0.015538729,0.014586352,0.015596765,0.015177276,0.00539998,0
0.015207444,0.014397328,0.015485814,0.015366205,0.005939978,0
0.015396749,0.014680862,0.01540656,0.014988347,0.004643983,0
0.01501814,0.014145295,0.015279757,0.014815163,0.003563987,0
0.014844612,0.014082287,0.014709142,0.01423263,0.008423969,0
0.014260921,0.013452205,0.014281183,0.013807541,0.010691961,0
0.014166271,0.013893262,0.014614043,0.014862394,0.011015959,0
0.015238993,0.014775376,0.015691865,0.015649597,0.009287966,0
0.015680704,0.014901393,0.015977175,0.015870016,0.007343973,0
0.015901562,0.014901393,0.015723569,0.015429182,0.004535983,0
0.015459851,0.014523344,0.01578697,0.015460667,0.003779986,0
0.015522952,0.014712368,0.015977175,0.015492158,0.003671986,0
0.015522952,0.014712368,0.015977175,0.015523644,0.000323999,0
0.015554501,0.014806878,0.015850372,0.015775549,0.006263977,0
0.015806907,0.015090417,0.016230782,0.01580704,0.004103985,0
0.01583846,0.014869886,0.015723569,0.015240253,0.003779986,0
0.015270546,0.014397328,0.015596765,0.015177276,0.003023989,0
0.015207444,0.014208303,0.015501665,0.015051323,0.003347988,0
0.015081241,0.014208303,0.015501665,0.015019838,0.003239988,0
0.015049693,0.014208303,0.015089552,0.014673465,0.004103985,0
0.014718408,0.013893262,0.015168806,0.01468921,0.004211985,0
0.014718408,0.013956271,0.014915199,0.014437305,0.005291981,0
0.014513327,0.01364123,0.014962749,0.014547512,0.004211985,0
0.014576429,0.013609728,0.014835946,0.014421559,0.004319984,0
0.014450225,0.013735745,0.014709142,0.014484536,0.005075981,0
0.014513327,0.013578222,0.014772544,0.014547512,0.003887986,0
0.014702632,0.013987777,0.015152954,0.014956861,0.004103985,0
0.015270546,0.014460336,0.015723569,0.015240253,0.003563987,0
0.015270546,0.014271311,0.015469962,0.0151143,0.005183981,0
0.015144343,0.014302813,0.015533364,0.01514579,0.00269999,0
0.015175896,0.014287065,0.015533364,0.015255998,0.001835993,0
0.015286323,0.014365821,0.015533364,0.015334715,0.00269999,0
0.015396749,0.014586352,0.015850372,0.015555134,0.004211985,0
0.015586054,0.014680862,0.015913773,0.015523644,0.004103985,0
0.015554501,0.014554845,0.015850372,0.015492158,0.001835993,0
0.015522952,0.014617854,0.015850372,0.015429182,0.002915989,0
0.015459851,0.01464936,0.015850372,0.015366205,0.003563987,0
0.015396749,0.014554845,0.015850372,0.015523644,0.002375991,0
0.015617602,0.014775376,0.016072275,0.015618111,0.00539998,0
0.015586054,0.014586352,0.01588207,0.015397691,0.002375991,0
0.015428297,0.014523344,0.01578697,0.015429182,0.003779986,0
0.015333647,0.014334319,0.015533364,0.015051323,0.003455987,0
0.015112794,0.014271311,0.015565067,0.015177276,0.00269999,0
0.015207444,0.014334319,0.015596765,0.015161531,0.001943993,0
0.015112794,0.014113793,0.014962749,0.014516026,0.005075981,0
0.014576429,0.013830254,0.015026151,0.014704956,0.004751983,0
0.014734185,0.013893262,0.015089552,0.014610489,0.003347988,0
0.014576429,0.013578222,0.014598191,0.014279866,0.006371977,0
0.014292474,0.013294688,0.014297034,0.013823286,0.00539998,0
0.013819215,0.012822129,0.013124107,0.013004593,0.013175952,0
0.013030443,0.012318064,0.013330163,0.0128629,0.009395965,0
0.013061996,0.012570096,0.013504517,0.013539895,0.013175952,0
0.013566808,0.012822129,0.013758123,0.013508404,0.006263977,0
0.013535255,0.012727614,0.013758123,0.013539895,0.000323999,0
0.013566808,0.012696113,0.013821525,0.013665848,0.003779986,0
0.013693012,0.012948145,0.013694721,0.013225013,0.007667972,0
0.013251301,0.012318064,0.013346015,0.012878645,0.005831979,0
0.012904244,0.012381072,0.013314312,0.013350966,0.009071967,0
0.013377504,0.012601598,0.013441115,0.013319475,0.007343973,0
0.01334595,0.012507088,0.01363132,0.013476918,0.004319984,0
0.013503707,0.012790623,0.013853223,0.013413942,0.006155977,0
0.013440605,0.012570096,0.013758123,0.013413942,0.005615979,0
0.013440605,0.012475582,0.01372642,0.013382451,0.004535983,0
0.013409052,0.012617351,0.013789821,0.013350966,0.006587976,0
0.013377504,0.012507088,0.013472813,0.013004593,0.006695975,0
0.012998894,0.012003023,0.012648597,0.012185905,0.013391951,0
0.012210127,0.011561966,0.011412268,0.011304235,0.023543913,0
0.011326705,0.010616849,0.009510224,0.009320486,0.033803876,0
0.009339013,0.009010144,0.008242192,0.009824293,0.076571718,1
0.010348633,0.0102388,0.010778252,0.010485547,0.036827865,0
0.01050639,0.0102388,0.01071485,0.011099566,0.019655928,0
