close,high,low,open,volume,target
0.03950377,0.038380902,0.039314218,0.039886718,0.050006516,0
0.040865969,0.039238576,0.040841462,0.039339346,0.000354486,0
0.04033082,0.04065612,0.041925313,0.040053309,0.049283046,0
0.040063245,0.039619765,0.038673761,0.03850639,0.053438026,0
0.037776697,0.040024777,0.03916642,0.040362693,0.07720028,0
0.035271224,0.037022919,0.036111932,0.037518742,0.080078468,0
0.036268548,0.034997856,0.035668539,0.03467479,0.047209907,0
0.034346874,0.03485491,0.034190561,0.036650087,0.07147967,0
0.036390173,0.035641111,0.03650606,0.035460149,0.046174762,0
0.039017271,0.037618526,0.036432161,0.034888979,0.058013875,0
0.041668694,0.040572736,0.039979308,0.03869678,0.048891859,0
0.046120165,0.045980845,0.044191546,0.0421476,0.071722746,0
0.044539042,0.046695573,0.044634939,0.044479878,0.046731705,0
0.049136463,0.048887406,0.047738693,0.04578881,0.100769675,0
0.049136463,0.049554486,0.050768549,0.048644661,0.070568509,0
0.050668937,0.050817173,0.051384373,0.049453819,0.109456913,1
0.051033812,0.050269214,0.052406641,0.052047883,0.102691332,0
0.052663586,0.05236575,0.052665287,0.050453366,0.051105455,0
0.05341766,0.052651641,0.054956153,0.05269045,0.031324741,0
0.053685235,0.052413399,0.055202483,0.052833242,0.038665553,0
0.051812211,0.050293039,0.052394325,0.051762298,0.045833565,0
0.052371686,0.050316863,0.05227116,0.049953592,0.008988274,0
0.054171734,0.05336637,0.054488127,0.052166877,0.021587285,0
0.052955485,0.053882403,0.053773771,0.054546753,0.029708925,0
0.05288251,0.051721304,0.05426643,0.052000286,0.011447564,0
0.050668937,0.051936913,0.051877032,0.052476261,0.059842839,0
0.051471661,0.049864202,0.050226623,0.050453366,0.054225945,0
0.051155437,0.050293039,0.052665287,0.05057236,0.030369554,0
0.052590611,0.051136894,0.052813085,0.050738951,0.033717375,0
0.055752858,0.054224043,0.054438861,0.052785645,0.06347133,0
0.058379956,0.057249726,0.058059907,0.055570099,0.069105807,0
0.058671856,0.057130605,0.058946694,0.057521597,0.040778849,0
0.060228655,0.05844094,0.059685683,0.057450201,0.050511423,0
0.059012406,0.05694001,0.058724998,0.057819082,0.048947592,0
0.058501581,0.057702387,0.060202976,0.058330755,0.045914793,0
0.060836779,0.059179492,0.058749631,0.056498251,0.071838595,0
0.060812454,0.059798923,0.062419943,0.060448845,0.038447015,0
0.06030163,0.058822128,0.061582422,0.059020919,0.044312723,0
0.060836779,0.059679802,0.06248054,0.061519789,0.066104808,0
0.061031379,0.060537476,0.062567741,0.060448845,0.033271083,0
0.060763804,0.058845952,0.061902651,0.0593779,0.036884585,0
0.065409876,0.063610807,0.063824022,0.061448392,0.066069885,0
0.065555826,0.064420832,0.067075574,0.064423237,0.046617147,0
0.065580151,0.064206413,0.067075574,0.065541779,0.028641366,0
0.064801751,0.062491066,0.064760075,0.062662129,0.059192987,0
0.064120652,0.061919283,0.064661543,0.063185702,0.117788399,1
0.082121138,0.083599371,0.08040201,0.077179371,0.313228091,1
0.081585989,0.080978701,0.082298749,0.079428354,0.069567955,0
0.082923863,0.080502216,0.083234801,0.080225612,0.040919707,0
0.085867186,0.083623195,0.085057641,0.08217711,0.048199578,0
0.088883483,0.087411255,0.088875751,0.085532735,0.083493241,0
0.090124057,0.08772097,0.09077249,0.087460435,0.036240324,0
0.091048407,0.088257016,0.09052616,0.088174397,0.052881158,0
0.090318657,0.089436318,0.092817026,0.090102097,0.027092748,0
0.09316468,0.091532854,0.094541334,0.09157762,0.036337909,0
0.097372902,0.094558536,0.095772983,0.092505771,0.068060732,0
0.098564826,0.0973698,0.099147699,0.097384517,0.075521941,0
