open,high,low,close,VolumeBTC,target
0.747758753,0.752730015,0.75509141,0.748776949,2.23E-06,0
0.731937988,0.73811973,0.710443344,0.747703904,6.02E-06,0
0.728329051,0.720552789,0.721417117,0.731504666,6.68E-06,0
0.794287761,0.780159117,0.632626601,0.728118017,1.30E-05,0
0.836563777,0.835027351,0.777692533,0.79501595,3.84E-06,0
0.846928768,0.831560425,0.842503359,0.836624182,3.57E-06,0
0.843880188,0.856072558,0.852025187,0.847064261,3.26E-06,0
0.855990362,0.858258431,0.843697804,0.842947312,4.61E-06,0
0.848332779,0.853621955,0.856273148,0.855870736,2.68E-06,0
0.810296697,0.832562065,0.80421271,0.848354526,1.78E-06,0
0.795903094,0.802027006,0.809425002,0.810312922,1.76E-06,0
0.873227753,0.857638548,0.807466988,0.795693428,6.76E-06,0
0.845986131,0.861099804,0.86072747,0.87285992,1.76E-06,0
0.852140572,0.836454943,0.843331982,0.846077125,2.34E-06,0
0.832846953,0.838596913,0.831742756,0.851936881,3.54E-06,0
0.868395704,0.862136771,0.839306873,0.832857694,3.81E-06,0
0.88481734,0.870478008,0.883140084,0.86823553,1.16E-06,0
0.860192009,0.867657569,0.866474274,0.884409395,1.52E-06,0
0.842361464,0.845931276,0.8394798,0.860076116,4.24E-06,0
0.893589109,0.883385068,0.852739585,0.842109589,7.98E-06,0
0.889703703,0.882078283,0.881236232,0.893387688,4.81E-06,0
0.94173998,0.92190403,0.883702283,0.889955191,6.00E-06,0
0.96976174,0.962019074,0.956108996,0.941348873,2.59E-06,0
0.953342181,0.949261897,0.959843625,0.969596124,1.62E-06,0
0.949436296,0.941558861,0.956881944,0.95338843,1.07E-06,0
0.958976925,0.949082503,0.940161821,0.949543897,3.26E-06,0
0.960995906,0.950942007,0.96807751,0.959379943,2.05E-06,0
0.990813007,1,0.948662433,0.960865172,4.43E-06,0
1,0.993667423,1,0.990900485,2.77E-06,0
0.936967291,0.982606492,0.95536903,1,3.52E-06,0
0.910884969,0.917135698,0.926571767,0.936807276,1.44E-06,0
0.902956853,0.892559891,0.907105704,0.910729558,1.64E-06,0
0.909216806,0.907926421,0.917079743,0.903154591,2.03E-06,0
0.931704733,0.914763453,0.916411488,0.909465555,1.95E-06,0
0.936373691,0.921020289,0.905722144,0.931328101,2.78E-06,0
0.902090049,0.931673295,0.915578024,0.936213778,4.32E-06,0
0.908126809,0.905505621,0.897878289,0.901536419,3.25E-06,0
